fecha,valor,indicator,region,año
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,cantabria,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,cantabria,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,cantabria,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,cantabria,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,cantabria,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,cantabria,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,cantabria,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,cantabria,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,cantabria,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,cantabria,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,castilla la mancha,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,castilla la mancha,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,castilla la mancha,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,castilla la mancha,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,castilla la mancha,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,castilla la mancha,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,castilla la mancha,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,castilla la mancha,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,castilla la mancha,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,castilla la mancha,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,castilla la mancha,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,castilla la mancha,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,castilla y leon,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,castilla y leon,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,castilla y leon,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,castilla y leon,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,castilla y leon,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,castilla y leon,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,castilla y leon,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,castilla y leon,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,castilla y leon,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,castilla y leon,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,castilla y leon,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,castilla y leon,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,cataluña,2020
