datetime,value,indicator,group,region,subregion
2019-07-19T00:00:00.000+02:00,54206.313,Hidráulica,Renovable,ccaa,region de murcia
2019-07-20T00:00:00.000+02:00,44489.6,Hidráulica,Renovable,ccaa,region de murcia
2019-07-21T00:00:00.000+02:00,38978.534,Hidráulica,Renovable,ccaa,region de murcia
2019-07-22T00:00:00.000+02:00,54411.812,Hidráulica,Renovable,ccaa,region de murcia
2019-07-23T00:00:00.000+02:00,60251.389,Hidráulica,Renovable,ccaa,region de murcia
2019-07-24T00:00:00.000+02:00,69122.685,Hidráulica,Renovable,ccaa,region de murcia
2019-07-25T00:00:00.000+02:00,57479.699,Hidráulica,Renovable,ccaa,region de murcia
2019-07-26T00:00:00.000+02:00,46356.943,Hidráulica,Renovable,ccaa,region de murcia
2019-07-27T00:00:00.000+02:00,35340.335,Hidráulica,Renovable,ccaa,region de murcia
2019-07-28T00:00:00.000+02:00,34430.145,Hidráulica,Renovable,ccaa,region de murcia
2019-07-29T00:00:00.000+02:00,40530.019,Hidráulica,Renovable,ccaa,region de murcia
2019-07-30T00:00:00.000+02:00,38216.282,Hidráulica,Renovable,ccaa,region de murcia
2019-07-31T00:00:00.000+02:00,37342.204,Hidráulica,Renovable,ccaa,region de murcia
2019-08-01T00:00:00.000+02:00,39828.088,Hidráulica,Renovable,ccaa,region de murcia
2019-08-02T00:00:00.000+02:00,39977.344,Hidráulica,Renovable,ccaa,region de murcia
2019-08-03T00:00:00.000+02:00,34210.193,Hidráulica,Renovable,ccaa,region de murcia
2019-08-04T00:00:00.000+02:00,34169.662,Hidráulica,Renovable,ccaa,region de murcia
2019-08-05T00:00:00.000+02:00,40534.909,Hidráulica,Renovable,ccaa,region de murcia
2019-08-06T00:00:00.000+02:00,44228.793,Hidráulica,Renovable,ccaa,region de murcia
2019-08-07T00:00:00.000+02:00,43476.75,Hidráulica,Renovable,ccaa,region de murcia
2019-08-08T00:00:00.000+02:00,37082.991,Hidráulica,Renovable,ccaa,region de murcia
2019-08-09T00:00:00.000+02:00,38927.905,Hidráulica,Renovable,ccaa,region de murcia
2019-08-10T00:00:00.000+02:00,37421.994,Hidráulica,Renovable,ccaa,region de murcia
2019-08-11T00:00:00.000+02:00,30600.823,Hidráulica,Renovable,ccaa,region de murcia
2019-08-12T00:00:00.000+02:00,32028.61,Hidráulica,Renovable,ccaa,region de murcia
2019-08-13T00:00:00.000+02:00,36679.781,Hidráulica,Renovable,ccaa,region de murcia
2019-08-14T00:00:00.000+02:00,40777.391,Hidráulica,Renovable,ccaa,region de murcia
2019-08-15T00:00:00.000+02:00,35044.104,Hidráulica,Renovable,ccaa,region de murcia
2019-08-16T00:00:00.000+02:00,38474.135,Hidráulica,Renovable,ccaa,region de murcia
2019-08-17T00:00:00.000+02:00,34782.138,Hidráulica,Renovable,ccaa,region de murcia
2019-08-18T00:00:00.000+02:00,33507.399,Hidráulica,Renovable,ccaa,region de murcia
2019-08-19T00:00:00.000+02:00,39245.61,Hidráulica,Renovable,ccaa,region de murcia
2019-08-20T00:00:00.000+02:00,38001.71,Hidráulica,Renovable,ccaa,region de murcia
2019-08-21T00:00:00.000+02:00,38493.81,Hidráulica,Renovable,ccaa,region de murcia
2019-08-22T00:00:00.000+02:00,41925.826,Hidráulica,Renovable,ccaa,region de murcia
2019-08-23T00:00:00.000+02:00,42800.86,Hidráulica,Renovable,ccaa,region de murcia
2019-08-24T00:00:00.000+02:00,34918.22,Hidráulica,Renovable,ccaa,region de murcia
2019-08-25T00:00:00.000+02:00,31347.359,Hidráulica,Renovable,ccaa,region de murcia
2019-08-26T00:00:00.000+02:00,46542.973,Hidráulica,Renovable,ccaa,region de murcia
2019-08-27T00:00:00.000+02:00,51678.255,Hidráulica,Renovable,ccaa,region de murcia
2019-08-28T00:00:00.000+02:00,53389.344,Hidráulica,Renovable,ccaa,region de murcia
2019-08-29T00:00:00.000+02:00,59749.296,Hidráulica,Renovable,ccaa,region de murcia
2019-08-30T00:00:00.000+02:00,56899.157,Hidráulica,Renovable,ccaa,region de murcia
2019-08-31T00:00:00.000+02:00,48266.71,Hidráulica,Renovable,ccaa,region de murcia
2019-09-01T00:00:00.000+02:00,31404.39,Hidráulica,Renovable,ccaa,region de murcia
2019-09-02T00:00:00.000+02:00,38148.517,Hidráulica,Renovable,ccaa,region de murcia
2019-09-03T00:00:00.000+02:00,53801.261,Hidráulica,Renovable,ccaa,region de murcia
2019-09-04T00:00:00.000+02:00,54724.959,Hidráulica,Renovable,ccaa,region de murcia
2019-09-05T00:00:00.000+02:00,32818.258,Hidráulica,Renovable,ccaa,region de murcia
2019-09-06T00:00:00.000+02:00,30146.204,Hidráulica,Renovable,ccaa,region de murcia
2019-09-07T00:00:00.000+02:00,28855.014,Hidráulica,Renovable,ccaa,region de murcia
2019-09-08T00:00:00.000+02:00,29420.553,Hidráulica,Renovable,ccaa,region de murcia
2019-09-09T00:00:00.000+02:00,49353.216,Hidráulica,Renovable,ccaa,region de murcia
2019-09-10T00:00:00.000+02:00,39504.993,Hidráulica,Renovable,ccaa,region de murcia
2019-09-11T00:00:00.000+02:00,42512.883,Hidráulica,Renovable,ccaa,region de murcia
2019-09-12T00:00:00.000+02:00,50919.321,Hidráulica,Renovable,ccaa,region de murcia
2019-09-13T00:00:00.000+02:00,45445.314,Hidráulica,Renovable,ccaa,region de murcia
2019-09-14T00:00:00.000+02:00,29031.508,Hidráulica,Renovable,ccaa,region de murcia
2019-09-15T00:00:00.000+02:00,28068.621,Hidráulica,Renovable,ccaa,region de murcia
2019-09-16T00:00:00.000+02:00,66133.503,Hidráulica,Renovable,ccaa,region de murcia
2019-09-17T00:00:00.000+02:00,64636.235,Hidráulica,Renovable,ccaa,region de murcia
2019-09-18T00:00:00.000+02:00,52209.253,Hidráulica,Renovable,ccaa,region de murcia
2019-09-19T00:00:00.000+02:00,56709.152,Hidráulica,Renovable,ccaa,region de murcia
2019-09-20T00:00:00.000+02:00,40615.436,Hidráulica,Renovable,ccaa,region de murcia
2019-09-21T00:00:00.000+02:00,30025.783,Hidráulica,Renovable,ccaa,region de murcia
2019-09-22T00:00:00.000+02:00,31095.205,Hidráulica,Renovable,ccaa,region de murcia
2019-09-23T00:00:00.000+02:00,39902.986,Hidráulica,Renovable,ccaa,region de murcia
2019-09-24T00:00:00.000+02:00,35954.22,Hidráulica,Renovable,ccaa,region de murcia
2019-09-25T00:00:00.000+02:00,40067.537,Hidráulica,Renovable,ccaa,region de murcia
2019-09-26T00:00:00.000+02:00,40979.597,Hidráulica,Renovable,ccaa,region de murcia
2019-09-27T00:00:00.000+02:00,38057.865,Hidráulica,Renovable,ccaa,region de murcia
2019-09-28T00:00:00.000+02:00,31706.531,Hidráulica,Renovable,ccaa,region de murcia
2019-09-29T00:00:00.000+02:00,29719.947,Hidráulica,Renovable,ccaa,region de murcia
2019-09-30T00:00:00.000+02:00,43296.213,Hidráulica,Renovable,ccaa,region de murcia
2019-10-01T00:00:00.000+02:00,33191.769,Hidráulica,Renovable,ccaa,region de murcia
2019-10-02T00:00:00.000+02:00,26658.12,Hidráulica,Renovable,ccaa,region de murcia
2019-10-03T00:00:00.000+02:00,30707.975,Hidráulica,Renovable,ccaa,region de murcia
2019-10-04T00:00:00.000+02:00,35644.863,Hidráulica,Renovable,ccaa,region de murcia
2019-10-05T00:00:00.000+02:00,23167.527,Hidráulica,Renovable,ccaa,region de murcia
2019-10-06T00:00:00.000+02:00,23601.539,Hidráulica,Renovable,ccaa,region de murcia
2019-10-07T00:00:00.000+02:00,29561.142,Hidráulica,Renovable,ccaa,region de murcia
2019-10-08T00:00:00.000+02:00,32050.572,Hidráulica,Renovable,ccaa,region de murcia
2019-10-09T00:00:00.000+02:00,26147.162,Hidráulica,Renovable,ccaa,region de murcia
2019-10-10T00:00:00.000+02:00,27612.94,Hidráulica,Renovable,ccaa,region de murcia
2019-10-11T00:00:00.000+02:00,23964.213,Hidráulica,Renovable,ccaa,region de murcia
2019-10-12T00:00:00.000+02:00,17524.691,Hidráulica,Renovable,ccaa,region de murcia
2019-10-13T00:00:00.000+02:00,16487.14,Hidráulica,Renovable,ccaa,region de murcia
2019-10-14T00:00:00.000+02:00,19713.549,Hidráulica,Renovable,ccaa,region de murcia
