fecha,valor,tipo,energia,region
2019-01-19,69.27320399999999,Hidráulica,Renovable,peninsular
2019-01-19,6.7965290000000005,Turbina de vapor,No-Renovable,peninsular
2019-01-19,-1.6231080000000002,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-19,144.26310800000002,Carbón,No-Renovable,peninsular
2019-01-19,-1.799409,Consumo bombeo,Almacenamiento,peninsular
2019-01-19,104.044561,Ciclo combinado,No-Renovable,peninsular
2019-01-19,85.218413,Cogeneración,No-Renovable,peninsular
2019-01-19,141.722687,Eólica,Renovable,peninsular
2019-01-19,9.998615,Solar fotovoltaica,Renovable,peninsular
2019-01-19,34.553356,Saldo I. internacionales,Demanda,peninsular
2019-01-19,0.073581,Hidroeólica,Renovable,peninsular
2019-01-19,2.0848850000000003,Residuos renovables,Renovable,peninsular
2019-01-19,0.470395,Solar térmica,Renovable,peninsular
2019-01-20,1.365875,Turbinación bombeo,Almacenamiento,peninsular
2019-01-20,8.808681,Otras renovables,Renovable,peninsular
2019-01-20,0.069273,Hidroeólica,Renovable,peninsular
2019-01-20,6.332266,Residuos no renovables,No-Renovable,peninsular
2019-01-20,62.060519,Ciclo combinado,No-Renovable,peninsular
2019-01-20,12.711378,Solar fotovoltaica,Renovable,peninsular
2019-01-20,6.629957999999999,Turbina de vapor,No-Renovable,peninsular
2019-01-20,1.080354,Turbina de gas,No-Renovable,peninsular
2019-01-20,144.31497399999998,Nuclear,No-Renovable,peninsular
2019-01-20,47.734816,Hidráulica,Renovable,peninsular
2019-01-20,-12.747312,Consumo bombeo,Almacenamiento,peninsular
2019-01-20,3.426667,Solar térmica,Renovable,peninsular
2019-01-20,82.064373,Cogeneración,No-Renovable,peninsular
2019-01-20,-6.598754,Saldo I. internacionales,Demanda,peninsular
2019-01-20,281.895179,Generación renovable,Renovable,peninsular
2019-01-20,2.084798,Residuos renovables,Renovable,peninsular
